week,total_reach,posts
2025-01-05T00:00:00.000Z,18000,7
2025-01-12T00:00:00.000Z,55233,14
2025-01-19T00:00:00.000Z,51298,12
2025-01-26T00:00:00.000Z,32658,20
2025-02-02T00:00:00.000Z,42639,11
2025-02-09T00:00:00.000Z,32591,16
2025-02-16T00:00:00.000Z,32877,10
2025-02-23T00:00:00.000Z,33774,25
2025-03-02T00:00:00.000Z,29141,17
2025-03-09T00:00:00.000Z,96276,28
2025-03-16T00:00:00.000Z,9750,7
2025-03-23T00:00:00.000Z,34375,26
2025-03-30T00:00:00.000Z,5899,4
2025-04-06T00:00:00.000Z,23354,12
2025-04-13T00:00:00.000Z,3708,4
2025-04-20T00:00:00.000Z,9778,14
2025-04-27T00:00:00.000Z,20603,34
2025-05-04T00:00:00.000Z,5869,8
2025-05-11T00:00:00.000Z,12742,5
2025-05-18T00:00:00.000Z,9485,8
2025-05-25T00:00:00.000Z,11327,14
2025-06-01T00:00:00.000Z,18198,18
2025-06-08T00:00:00.000Z,22734,18
2025-06-15T00:00:00.000Z,34505,19
2025-06-22T00:00:00.000Z,85742,24
2025-06-29T00:00:00.000Z,17802,12
2025-07-06T00:00:00.000Z,70680,22
2025-07-13T00:00:00.000Z,34887,21
2025-07-20T00:00:00.000Z,36962,21
2025-07-27T00:00:00.000Z,37395,19
2025-08-03T00:00:00.000Z,102684,23
2025-08-10T00:00:00.000Z,23659,18
2025-08-17T00:00:00.000Z,29218,15
2025-08-24T00:00:00.000Z,24408,23
2025-08-31T00:00:00.000Z,24307,14
2025-09-07T00:00:00.000Z,19411,20
2025-09-14T00:00:00.000Z,57721,32
2025-09-21T00:00:00.000Z,26949,29
2025-09-28T00:00:00.000Z,37697,37
2025-10-05T00:00:00.000Z,33450,43
2025-10-12T00:00:00.000Z,40979,49
2025-10-19T00:00:00.000Z,68699,50
2025-10-26T00:00:00.000Z,47133,50
2025-11-02T00:00:00.000Z,378409,35
2025-11-09T00:00:00.000Z,118131,49
2025-11-16T00:00:00.000Z,29514,39
