week,blog_pageviews
2025-01-05T00:00:00.000Z,256002
2025-01-12T00:00:00.000Z,258527
2025-01-19T00:00:00.000Z,283558
2025-01-26T00:00:00.000Z,262386
2025-02-02T00:00:00.000Z,256698
2025-02-09T00:00:00.000Z,260775
2025-02-16T00:00:00.000Z,267919
2025-02-23T00:00:00.000Z,277753
2025-03-02T00:00:00.000Z,261153
2025-03-09T00:00:00.000Z,255289
2025-03-16T00:00:00.000Z,229611
2025-03-23T00:00:00.000Z,246587
2025-03-30T00:00:00.000Z,236243
2025-04-06T00:00:00.000Z,219471
2025-04-13T00:00:00.000Z,203427
2025-04-20T00:00:00.000Z,198094
2025-04-27T00:00:00.000Z,205894
2025-05-04T00:00:00.000Z,215173
2025-05-11T00:00:00.000Z,206991
2025-05-18T00:00:00.000Z,183555
2025-05-25T00:00:00.000Z,199992
2025-06-01T00:00:00.000Z,174686
2025-06-08T00:00:00.000Z,181429
2025-06-15T00:00:00.000Z,163219
2025-06-22T00:00:00.000Z,201616
2025-06-29T00:00:00.000Z,182171
2025-07-06T00:00:00.000Z,160621
2025-07-13T00:00:00.000Z,150403
2025-07-20T00:00:00.000Z,138559
2025-07-27T00:00:00.000Z,163859
2025-08-03T00:00:00.000Z,132527
2025-08-10T00:00:00.000Z,138853
2025-08-17T00:00:00.000Z,132301
2025-08-24T00:00:00.000Z,136367
2025-08-31T00:00:00.000Z,125911
2025-09-07T00:00:00.000Z,21881
